fdc_id,data_type,description,food_category_id,publication_date
319973,sub_sample_food,Hummus - NFY12143E,16,01/04/2019
319974,sub_sample_food,Hummus - NFY12143F,16,01/04/2019
319975,sub_sample_food,Hummus - NFY12143G,16,01/04/2019
319976,sub_sample_food,Hummus - NFY121435,16,01/04/2019
319977,sub_sample_food,"Hummus, Tribe Classic - GA, NJ",16,01/04/2019
319978,sample_food,"HUMMUS, OTHER",16,01/04/2019
319979,market_acquisition,"HUMMUS, OTHER",16,01/04/2019
319980,market_acquisition,"HUMMUS, OTHER",16,01/04/2019
319981,sub_sample_food,Hummus,16,01/04/2019
319982,sub_sample_food,Hummus,16,01/04/2019
319983,sub_sample_food,Hummus,16,01/04/2019
319984,sample_food,"HUMMUS, TRIBE CLASSIC",16,01/04/2019
319985,market_acquisition,"HUMMUS, TRIBE CLASSIC",16,01/04/2019
319986,market_acquisition,"HUMMUS, TRIBE CLASSIC",16,01/04/2019
319987,market_acquisition,"HUMMUS, TRIBE CLASSIC",16,01/04/2019
319988,market_acquisition,"HUMMUS, TRIBE CLASSIC",16,01/04/2019
319989,market_acquisition,"HUMMUS, TRIBE CLASSIC",16,01/04/2019
319990,market_acquisition,"HUMMUS, TRIBE CLASSIC",16,01/04/2019
319991,sub_sample_food,Hummus - NFY12141W,16,01/04/2019
319992,sub_sample_food,Hummus - NFY12141X,16,01/04/2019
319993,sub_sample_food,Hummus,16,01/04/2019
319994,sub_sample_food,Hummus,16,01/04/2019
319995,sub_sample_food,Hummus,16,01/04/2019
319996,sub_sample_food,Hummus,16,01/04/2019
319997,sub_sample_food,Hummus,16,01/04/2019
319998,sub_sample_food,Hummus,16,01/04/2019
319999,sub_sample_food,Hummus - NFY12141Y,16,01/04/2019
320000,sub_sample_food,Hummus - NFY12141Z,16,01/04/2019
320001,sub_sample_food,Hummus - NFY121420,16,01/04/2019
320002,sub_sample_food,Hummus - NFY121421,16,01/04/2019
320003,sub_sample_food,Hummus - NFY12141P,16,01/04/2019
320004,sub_sample_food,"Hummus, Tribe Classic - KY, PA",16,01/04/2019
320005,sample_food,"HUMMUS, OTHER",16,01/04/2019
320006,market_acquisition,"HUMMUS, OTHER",16,01/04/2019
320007,market_acquisition,"HUMMUS, OTHER",16,01/04/2019
320008,market_acquisition,"HUMMUS, OTHER",16,01/04/2019
320009,market_acquisition,"HUMMUS, OTHER",16,01/04/2019
320010,market_acquisition,"HUMMUS, OTHER",16,01/04/2019
320011,sub_sample_food,Hummus - NFY12142M,16,01/04/2019
320012,sub_sample_food,Hummus - NFY12142N,16,01/04/2019
320013,sub_sample_food,Hummus,16,01/04/2019
320014,sub_sample_food,Hummus,16,01/04/2019
320015,sub_sample_food,Hummus,16,01/04/2019
320016,sub_sample_food,Hummus,16,01/04/2019
320017,sub_sample_food,Hummus,16,01/04/2019
320018,sub_sample_food,Hummus - NFY12142O,16,01/04/2019
320019,sub_sample_food,Hummus - NFY12142P,16,01/04/2019
320020,sub_sample_food,Hummus - NFY12142Q,16,01/04/2019
320021,sub_sample_food,Hummus - NFY12142R,16,01/04/2019
320022,sub_sample_food,Hummus - NFY12142G,16,01/04/2019
320023,sub_sample_food,"Hummus, Other - AZ, IN",16,01/04/2019
320025,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320026,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320027,sub_sample_food,"MILK, 2% ",1,01/04/2019
320028,sub_sample_food,"MILK, 2% ",1,01/04/2019
320029,sub_sample_food,"MILK, 2% ",1,01/04/2019
320030,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320031,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320032,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320033,sub_sample_food,"MILK, 2% ",1,01/04/2019
320034,sub_sample_food,"MILK, 2% ",1,01/04/2019
320035,sub_sample_food,"MILK, 2% ",1,01/04/2019
320036,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320037,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320038,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320039,sub_sample_food,"MILK, 2% ",1,01/04/2019
320040,sub_sample_food,"MILK, 2% ",1,01/04/2019
