food_description,"Fiber, total dietary","Fatty acids, total polyunsaturated","Magnesium, Mg",Vitamin_D_Total_UG,"Zinc, Zn"
"Corn flour,  masa harina",7.038,0.0,93.3,0.0,1.617
"Corn,  sweet",2.428,0.0,25.76,0.0,0.5564
"Cottage cheese,  full fat",0.0,0.0,9.189,0.0,0.4538
"Cranberries,  dried",4.36,0.0,4.496,0.0,0.06075
"Cranberry juice,  not fortified",0.0,0.0,4.381,0.0,0.0412
"Cream cheese,  full fat",0.0,0.0,8.914,0.0,0.5891
"Cream,  heavy",0.0,0.0,5.974,0.0,0.2231
"Cream,  sour",0.0,0.0,10.11,0.0,0.3919
"Crustaceans,  crab",0.0,0.0,43.08,0.0,3.478
"Crustaceans,  shrimp",0.0,0.0,22.53,0.0,0.9368
"Cucumber,  with peel",0.0,0.0,10.11,0.0,0.204
"Dressing,  Ranch",0.0,25.93,0.0,0.0,0.0
"Edamame,  frozen",6.233,4.073,72.75,0.0,1.405
"Egg,  white",0.0,0.0,49.099999999999994,0.0,0.225
"Egg,  whole",0.0,0.0,27.9,6.0,3.11
"Egg,  yolk",0.0,0.0,18.6,10.75,5.0200000000000005
"Eggplant,  raw",2.448,0.0,13.54,0.0,0.1189
"Eggs,  Grade A",0.0,1.82,11.4,2.46,1.24
"Einkorn,  grain",8.913,0.0,140.4,0.0,5.231
"Farro,  pearled",7.31,0.0,118.8,0.0,3.968
"Fennel,  bulb",2.046,0.0,14.98,0.0,0.1413
"Figs,  dried",9.8,0.0,67.6,0.0,0.66
"Fish,  catfish",0.0,1.19,20.63,0.0,0.4749
"Fish,  cod",0.0,0.081,17.98,0.0,0.3051
"Fish,  haddock",0.0,0.163,21.1,0.5,0.32
"Fish,  pollock",0.0,0.182,16.1,0.2,0.31
"Fish,  salmon",0.0,2.3855,25.77,0.0,0.382
"Fish,  tilapia",0.0,0.358,24.28,0.0,0.2995
"Fish,  tuna",0.0,0.259,22.7,1.2,0.66
"Flaxseed,  ground",23.13,24.73,372.1,0.0,4.738
"Flour,  00",2.656,0.0,25.8,0.0,0.791
"Flour,  almond",9.266,0.0,251.1,0.0,2.795
"Flour,  amaranth",7.209,0.0,232.7,0.0,3.001
"Flour,  barley",12.79,0.0,88.04,0.0,2.144
"Flour,  bread",0.0,0.0,35.9,0.0,1.06
"Flour,  buckwheat",10.35,0.0,167.4,0.0,1.755
"Flour,  cassava",4.834,0.0,33.56,0.0,0.4099
"Flour,  chestnut",8.711,1.515,68.75,0.0,1.038
"Flour,  coconut",34.24,0.111,247.7,0.0,3.698
"Flour,  corn",4.3,0.0,30.1,0.0,0.62
"Flour,  oat",10.5,0.0,125.3,0.0,2.754
"Flour,  pastry",0.0,0.0,22.4,0.0,0.74
"Flour,  potato",5.401,0.0,73.65,0.0,0.9002
"Flour,  quinoa",6.295,0.0,163.8,0.0,2.77
"Flour,  rice",0.5,0.0,56.03333333333333,0.0,1.4799999999999998
"Flour,  rye",13.68,0.0,95.39,0.0,2.328
"Flour,  semolina",3.4495,0.0,40.745000000000005,0.0,1.0935
"Flour,  sorghum",6.019,0.0,116.4,0.0,1.66
"Flour,  soy",0.0,0.0,283.5,0.0,4.095000000000001
"Flour,  spelt",9.339,0.0,123.8,0.0,3.591
"Flour,  wheat",3.0,0.0,32.03333333333333,0.0,0.9233333333333333
"Flour,  whole wheat",10.6,0.0,136.0,0.0,3.24
"Fonio,  grain",2.197,0.0,39.1,0.0,1.849
"Frankfurter,  beef",0.0,0.954,11.5,0.0,2.06
"Garlic,  raw",2.7,0.0,0.0,0.0,0.0
"Grape juice,  purple",0.0,0.0,7.873,0.0,0.0571
"Grape juice,  white",0.0,0.0,4.274,0.0,0.01773
"Grapefruit juice,  red",0.0,0.0,7.748,0.0,0.02739
"Grapefruit juice,  white",0.2,0.0,9.6,0.0,0.04
"Grapefruit,  raw",0.6525,0.0,9.58,0.0,0.0292
"Grapes,  green",0.0,0.0,7.118,0.0,0.02674
"Grapes,  red",0.0,0.0,8.556,0.0,0.03603
"Green onion,  (scallion)",2.3,0.0,18.94,0.0,0.2484
"Halibut,  frozen",0.0,0.0,23.06,0.0,0.3272
"Ham,  sliced",0.0,0.6095,19.55,0.0,1.6400000000000001
"Hummus,  commercial",5.4,7.48,71.1,0.0,1.38
"Juice,  pomegranate",0.0,0.0,6.863,0.0,0.08176
"Juice,  prune",0.0,0.0,15.21,0.0,0.1225
"Juice,  tart cherry",0.0,0.0,12.12,0.0,0.03283
"Kale,  frozen",0.0,0.0,25.0,0.0,0.27
"Kale,  raw",4.1,0.0,32.7,0.0,0.39
"Ketchup,  restaurant",0.0,0.0,13.5,0.0,0.16
"Khorasan,  grain",10.52,0.0,130.1,0.0,4.46
"Kiwifruit (kiwi),  green",2.129,0.0,14.79,0.0,0.4547
"Kiwifruit,  green",3.0,0.0,15.7,0.0,0.14
"Lamb,  ground",0.0,0.0,17.48,0.0,3.13
"Leeks,  bulb and greens",3.0,0.0,15.68,0.0,0.293
"Lentils,  dry",0.0,0.0,106.7,0.0,3.863
"Lettuce,  cos or romaine",1.8,0.0,13.7,0.0,0.25
"Lettuce,  iceberg",0.0,0.0,6.311,0.0,0.1728
"Lettuce,  leaf",0.0,0.0,12.585,0.0,0.3068
"Lettuce,  romaine",0.0,0.0,12.05,0.0,0.2516
"Lobster,  tail only",0.0,0.0,39.04,0.0,1.536
"Lunchmeat,  chicken breast",0.0,0.5075,0.0,0.0,0.0
"Lunchmeat,  ham",0.0,0.6336,0.0,0.0,0.0
"Lunchmeat,  roast beef",0.0,0.235,0.0,0.0,0.0
"Lunchmeat,  turkey",0.0,1.408,0.0,0.0,0.0
"Mahi mahi,  frozen",0.0,0.0,28.02,0.0,0.2963
"Mandarin,  seedless",1.328,0.0,12.59,0.0,0.06869
"Mango,  Ataulfo",1.289,0.0,10.57,0.0,0.102
"Mango,  Tommy Atkins",1.753,0.0,10.26,0.0,0.0664
"Mayonnaise,  Regular",0.0,41.67,0.0,0.0,0.0
"Melons,  cantaloupe",0.8,0.0,13.0,0.0,0.44
"Melons,  honeydew",0.0,0.0,9.504,0.0,0.05999
"Milk,  lowfat",0.0,0.032,12.0,1.08,0.43
"Milk,  nonfat",0.0,0.006,12.5,1.1,0.45
"Milk,  reduced fat",0.0,0.058,12.0,1.115,0.43
"Milk,  whole",0.0,0.108,11.9,0.98,0.415
"Millet,  whole grain",2.619,0.0,105.5,0.0,2.258
"Mushroom,  beech",3.139,0.0,10.49,0.37,0.4978
"Mushroom,  crimini",1.781,0.0,10.25,0.0,0.5123
"Mushroom,  enoki",2.945,0.0,12.84,0.0,0.4815
"Mushroom,  king oyster",3.009,0.0,13.51,0.07,0.6254
"Mushroom,  lion's mane",4.376,0.0,11.72,0.02125,0.7448
"Mushroom,  maitake",3.071,0.0,11.04,1.596,0.7629
"Mushroom,  oyster",2.85,0.0,13.91,0.04063,0.6843
"Mushroom,  pioppini",2.753,0.0,15.99,0.0,0.8573
"Mushroom,  portabella",1.879,0.0,9.037,0.0,0.3888
"Mushrooms,  shiitake",4.166,0.0,14.06,0.05625,0.7641
"Mushrooms,  white button",1.717,0.0,10.16,0.02167,0.511
"Mustard,  prepared",4.3,0.903,47.7,0.0,0.64
"Nectarines,  raw",1.5,0.0,8.8,0.0,0.21
"Nuts,  almonds",10.89,12.84,257.8,0.0,2.8325
"Nuts,  brazilnuts",5.984,0.0,351.3,0.0,3.824
"Nuts,  cashew nuts",4.104,0.0,250.6,0.0,5.071
"Nuts,  hazelnuts or filberts",8.41,0.0,155.8,0.0,2.334
"Nuts,  macadamia nuts",7.563,0.0,106.8,0.0,1.2
"Nuts,  pecans",5.793,22.924,102.9,0.0,3.93
"Nuts,  pine nuts",3.941,0.0,205.9,0.0,5.713
"Nuts,  pistachio nuts",6.969,0.0,109.7,0.0,2.176
"Nuts,  walnuts",5.21,49.331,142.4,0.0,2.76
"Oat milk,  unsweetened",0.0,0.0,5.909,1.701692,0.09062
"Oats,  whole grain",0.0,0.0,127.44999999999999,0.0,2.7935
"Oil,  canola",0.0,25.3,0.0,0.0,0.0
"Oil,  coconut",0.0,1.7,0.0,0.0,0.02
"Oil,  corn",0.0,52.9,0.0,0.0,0.0
"Oil,  olive",0.0,9.719999999999999,0.0,0.0,0.0
"Oil,  peanut",0.0,19.92,0.0,0.0,0.0
"Oil,  safflower",0.0,13.79,0.0,0.0,0.0
"Oil,  soybean",0.0,57.6,0.0,0.0,0.0
"Oil,  sunflower",0.0,20.71,0.0,0.0,0.0
"Olives,  green",4.0,0.661,12.4,0.0,0.09
"Onion rings,  breaded",2.4,7.58,20.4,0.0,0.59
"Onions,  red",2.2,0.0,11.4,0.0,0.17
"Onions,  white",1.2,0.0,9.3,0.0,0.12
"Onions,  yellow",1.9,0.0,9.0,0.0,0.2
"Orange juice,  no pulp",0.0,0.0,10.45,0.0,0.031975
"Oranges,  raw",2.0,0.0,10.7,0.0,0.11
"Parsnips,  raw",5.351,0.0,22.0,0.0,0.328
"Pasta,  dry",0.0,0.0,88.42,0.0,2.2215000000000003
"Pawpaw,  peeled",3.3,0.0,10.61,0.0,0.08486
"Peaches,  yellow",1.5,0.0,8.0,0.0,0.23
"Peanut butter,  Creamy",5.178,10.53,0.0,0.0,0.0
"Peanut butter,  creamy",6.323,9.781,192.6,0.0,3.062
"Peanut butter,  smooth style",4.8,12.3,169.0,0.0,2.54
"Peanuts,  raw",8.014,0.0,179.7,0.0,2.78
"Pear,  Anjou",2.636,0.0,6.494,0.0,0.1074
"Pears,  raw",3.1,0.0,5.7,0.0,0.07
"Peas,  green",0.0,0.0,21.91,0.0,0.712
"Pepperoni,  beef and pork",0.0,4.628,0.0,0.0,0.0
"Peppers,  banana or Hungarian wax",1.79,0.0,10.19,0.0,0.1304
"Peppers,  bell",1.034575,0.0,10.1885,0.0,0.190775
"Peppers,  jalapeno",1.725,0.0,8.946,0.0,0.09438
"Peppers,  poblano",2.07,0.0,10.73,0.0,0.1284
"Peppers,  serrano",2.521,0.0,12.68,0.0,0.138
"Pickles,  cucumber",1.0,0.0,7.1,0.0,0.11
"Pineapple,  raw",0.9346,0.0,13.38,0.0,0.1067
"Plantains,  overripe",1.792,0.0,31.73,0.0,0.1492
"Plantains,  ripe",2.125,0.0,33.93,0.0,0.1467
"Plantains,  underripe",2.53,0.0,29.47,0.0,0.185
"Plum,  black",1.346,0.0,6.615,0.0,0.04518
"Plums,  dried (prunes)",6.251,0.0,43.54,0.0,0.4205
"Pork,  belly",0.0,0.0,12.18,0.0,1.067
"Pork,  chop",0.0,0.0,23.44,0.0,1.325
"Pork,  cured",0.0,6.0,36.5,0.0,3.56
"Pork,  ground",0.0,2.553,19.03,0.0,2.226
"Pork,  loin",0.0,0.89825,23.310000000000002,0.0,1.6715
"Potatoes,  gold",0.0,0.0,22.3,0.0,0.3739
"Potatoes,  red",0.0,0.0,23.56,0.0,0.3923
"Potatoes,  russet",0.0,0.0,25.64,0.0,0.3781
"Radicchio,  raw",2.114,0.0,12.95,0.0,0.1999
"Radishes,  red",1.314,0.0,8.944,0.0,0.1039
"Raisins,  dark",3.679,0.0,35.54,0.0,0.176
"Raisins,  golden",3.006,0.0,34.1,0.0,0.1626
"Raspberries,  raw",0.0,0.0,19.15,0.0,0.2213
"Refried beans,  canned",3.91,0.736,35.3,0.0,0.6095
"Refried beans,  canned (pinto)",3.868,0.4667,0.0,0.0,0.0
"Restaurant,  Chinese",1.0,5.076666666666667,11.9,0.0,0.9433333333333334
"Restaurant,  Latino",4.1,2.455,39.9,0.0,1.0699999999999998
"Rhubarb,  stalk",1.428,0.0,12.7,0.0,0.1767
"Rice,  black",4.179,0.0,113.4,0.0,1.716
"Rice,  brown",3.021,0.0,115.0,0.0,1.854
"Rice,  red",4.198,0.0,125.5,0.0,2.563
"Rice,  white",0.1488,0.0,26.53,0.0,1.354
"Rutabaga,  peeled",2.9,0.0,15.44,0.0,0.2111
"Salad dressing,  Italian dressing",0.0,13.39,0.0,0.0,0.0
"Salami,  hard",0.0,4.058,0.0,0.0,0.0
"Salt,  table",0.0,0.0,0.0,0.0,0.0
"Sauce,  pasta",1.8,0.504,18.5,0.0,0.2
"Sauce,  salsa",1.8,0.0,15.2,0.0,0.2
"Sausage,  Italian",0.0,4.96,18.6,0.0,2.41
"Sausage,  breakfast sausage",0.0,1.91,19.7,0.0,2.14
"Sausage,  pork",0.0,4.74,30.1,0.0,2.19
"Sausage,  turkey",0.0,3.15,18.9,0.0,2.58
"Scallops,  bay",0.0,0.0,46.44,0.0,1.025
"Scallops,  sea",0.0,0.0,30.63,0.0,1.002
"Sea bass,  Chilean",0.0,0.0,16.64,0.0,0.2949
"Seeds,  pumpkin seeds (pepitas)",5.079,0.0,499.7,0.0,6.341
"Seeds,  sunflower seed",7.215,0.0,301.9,0.0,5.578
"Seeds,  sunflower seed kernels",10.3,13.0,358.0,0.0,6.0
"Sesame butter,  creamy",8.372,26.37,356.8,0.0,6.039
"Shallots,  bulb",2.2,0.0,15.1,0.0,0.2816
"Snapper,  frozen",0.0,0.0,27.46,0.0,0.3645
"Snow crab,  legs only",0.0,0.0,58.37,0.0,3.369
"Sorghum bran,  white",34.95,0.0,273.5,0.0,4.4
"Sorghum flour,  white",3.299,0.0,107.0,0.0,1.318
"Sorghum grain,  white",3.916,0.0,108.9,0.0,1.276
"Sorghum,  whole grain",8.274,0.0,136.0,0.0,1.769
"Soy milk,  sweetened",0.0,0.0,17.46,4.63014,0.2636
"Soy milk,  unsweetened",0.0,1.154,21.54,0.6814,0.3118
"Spinach,  baby",1.558,0.0,92.86,0.0,0.4471
"Spinach,  mature",1.588,0.0,92.96,0.0,0.4229
"Squash,  pie pumpkin",2.3,0.0,12.8,0.0,0.1387
"Squash,  spaghetti",1.4,0.0,13.34,0.0,0.1049
"Squash,  summer",0.8544,0.0,16.064999999999998,0.0,0.23175
"Squash,  winter",2.2969999999999997,0.0,19.35,0.0,0.24325
"Squid (calamari),  frozen",0.0,0.0,10.52,0.0,0.5268
"Strawberries,  raw",1.8,0.0,12.16,0.0,0.147
"Sugars,  granulated",0.0,0.0,0.3,0.0,0.01
